,TotalOccupied,OwnerOccupancyPercentage,TotalOccupiedbyOwner,OccupiedbyOwnerdetached homes,OwnerDetachedpercentage,OccupiedbyOwnerSemiDetached,OccupiedbyOwnerMultiIUnits,OccupiedbyOwnerMobileorBoat,TotalOccupiedbyRenter,OccupiedbyRenter detached homes,OccupiedbyRenterSemiDetached,OccupiedbyRenterMultiIUnits,OccupiedbyRenterMobileorBoat
11230,30228,0.2836,8574,3105,0.362141358,1275,4181,13,21654,670,387,20570,27
11231,15275,0.2619,4000,196,0.049,858,2946,0,11275,66,258,10951,0
11232,8700,0.2303,2004,126,0.062874251,402,1476,0,6696,82,150,6464,0
11233,26412,0.2259,5967,337,0.056477292,1034,4590,6,20445,124,407,19870,44
11234,32314,0.6709,21679,5570,0.25693067,8814,7280,15,10635,539,986,9106,4
11235,32104,0.4023,12915,2308,0.17870693,1831,8703,73,19189,463,521,18194,11
11236,31920,0.4827,15407,2130,0.138248848,3636,9622,19,16513,618,943,14920,32
11237,16683,0.0920,1535,53,0.034527687,202,1280,0,15148,31,126,14953,38
11238,22943,0.2817,6464,128,0.01980198,751,5585,0,16479,73,103,16303,0
11239,6355,0.0302,192,65,0.338541667,42,85,0,6163,31,0,6132,0
11354,19695,0.4063,8002,2310,0.288677831,505,5187,0,11693,301,252,11140,0
11355,27852,0.3241,9027,1814,0.200952697,1721,5439,53,18825,585,606,17568,66
11356,7546,0.4861,3668,1303,0.35523446,586,1779,0,3878,278,219,3371,10
11357,15131,0.7409,11210,5874,0.523996432,1054,4232,50,3921,497,433,2991,0
11358,13160,0.5675,7468,4065,0.544322442,1682,1716,5,5692,484,301,4887,20
11360,8573,0.6861,5882,1561,0.265385923,391,3930,0,2691,103,82,2497,9
11361,10691,0.5807,6208,2786,0.448775773,1449,1916,57,4483,344,419,3720,0
11362,6973,0.7906,5513,2170,0.393615092,689,2631,23,1460,218,93,1149,0
11363,2589,0.6949,1799,1267,0.704280156,295,237,0,790,78,115,589,8
11364,13232,0.7422,9821,3863,0.3933408,1077,4876,5,3411,450,273,2666,22
11365,15382,0.4852,7464,3718,0.49812433,1411,2294,41,7918,343,521,7008,46
11366,4310,0.7155,3084,2125,0.689040208,528,431,0,1226,185,126,897,18
11367,14585,0.4592,6698,1219,0.181994625,2027,3407,45,7887,148,371,7359,9
11368,29031,0.2070,6009,944,0.157097687,733,4301,31,23022,642,453,21918,9
11369,11603,0.4742,5502,1507,0.2739004,1589,2406,0,6101,423,861,4764,53
11370,8650,0.4562,3946,671,0.170045616,1329,1946,0,4704,152,472,4061,19
11372,24346,0.3053,7432,226,0.030409042,540,6666,0,16914,309,162,16443,0
11373,31788,0.2743,8721,1736,0.199059741,1188,5769,28,23067,553,595,21895,24
11374,19415,0.3422,6644,1042,0.156833233,1204,4379,19,12771,266,139,12352,14
11375,31731,0.5005,15882,3045,0.191726483,2031,10801,5,15849,369,498,14982,0
11377,31473,0.2717,8551,831,0.097181616,1829,5871,20,22922,439,967,21488,28
11378,12505,0.5184,6483,1274,0.19651396,2170,3039,0,6022,239,327,5435,21
11379,13682,0.5927,8110,1114,0.137361282,3778,3218,0,5572,169,385,5018,0
11385,34605,0.2959,10240,1467,0.143261719,2359,6398,16,24365,391,429,23445,100
11411,6087,0.8193,4987,3729,0.747744135,936,322,0,1100,341,126,629,4
11412,11066,0.7419,8210,5452,0.66406821,1583,1163,12,2856,796,242,1804,14
11413,12263,0.7445,9130,5965,0.653340635,1403,1748,14,3133,542,252,2334,5
11414,10796,0.7453,8046,3705,0.460477256,224,4117,0,2750,287,100,2363,0
11415,8308,0.3675,3053,548,0.179495578,294,2211,0,5255,57,63,5135,0
11416,7111,0.4310,3065,714,0.232952692,644,1707,0,4046,206,178,3649,13
11417,9515,0.5565,5295,2535,0.478753541,937,1818,5,4220,401,183,3636,0
11418,11094,0.4133,4585,1928,0.420501636,417,2226,14,6509,387,107,5984,31
11419,12422,0.5550,6894,3465,0.502610966,856,2554,19,5528,561,301,4632,34
11420,13674,0.6824,9331,5903,0.632622441,833,2561,34,4343,1038,200,3091,14
11421,12198,0.5486,6692,2203,0.329199044,1490,2956,43,5506,298,287,4903,18
11422,9796,0.6722,6585,4217,0.640394837,787,1564,17,3211,368,252,2591,0
11423,9961,0.5931,5908,3437,0.581753555,526,1934,11,4053,433,178,3442,0
11426,6084,0.7625,4639,3216,0.693252856,383,1040,0,1445,269,184,992,0
11427,7667,0.5979,4584,2937,0.640706806,587,1060,0,3083,263,212,2608,0
11428,5826,0.6404,3731,3156,0.845885821,272,286,17,2095,368,107,1620,0
11429,7542,0.6767,5104,3688,0.722570533,680,731,5,2438,643,157,1638,0
11432,18674,0.3588,6701,3344,0.499029996,662,2665,30,11973,392,323,11190,68
